order,value,url,scrape_date
1,Community frozen as Hamas atrocities continue to emerge,,2023-10-20 07:16:48
2,Berlusconi's 'worthless' art a headache for heirs,,2023-10-20 07:16:48
3,"China has sharply expanded nuclear arsenal, US says",,2023-10-20 07:16:48
4,The world is losing its humanity - UN agency chief,,2023-10-20 07:16:48
5,'Mannequin' arrested after Warsaw shop burglary,,2023-10-20 07:16:48
6,Trump ex-lawyer pleads guilty in Georgia election case,,2023-10-20 07:16:48
7,Canada withdraws 41 diplomats from India,,2023-10-20 07:16:48
8,Hundreds arrested at protest near US Capitol,,2023-10-20 07:16:48
9,Jordan to run again for Speaker as backup plan fails,,2023-10-20 07:16:48
10,Niger junta say ousted president tried to escape,,2023-10-20 07:16:48
