order_var,value,url,scrape_date
1,Mike Pence withdraws from 2024 US presidential race,,2023-10-29 01:03:36
2,Israel recalls diplomats from Turkey in Gaza row,,2023-10-29 01:03:36
3,Iranian girl who collapsed on Tehran metro dies,,2023-10-29 01:03:36
4,Gaza 'disconnected from the planet' - but messages of fear trickle out,,2023-10-29 01:03:36
5,"Israel has no plan for Gaza after war ends, experts warn",,2023-10-29 01:03:36
6,Sailor rescued after days drifting in Pacific Ocean,,2023-10-29 01:03:36
7,Thousands at pro-Palestinian protest in London,,2023-10-29 01:03:36
8,Maine mass shooting suspect found dead,,2023-10-29 01:03:36
9,At least 32 dead in multi-vehicle crash in Egypt,,2023-10-29 01:03:36
10,South Africa edge out New Zealand in epic final,,2023-10-29 01:03:36
