order,value,url,scrape_date
1,Ukraine uses US long-range missiles for the first time,,2023-10-18 02:02:36
2,House in disarray as resistance hardens to Jordan,,2023-10-18 02:02:36
3,Exonerated man shot and killed in traffic stop,,2023-10-18 02:02:36
4,Police shoot dead Brussels attacker who killed Swedes,,2023-10-18 02:02:36
5,Britney Spears says in memoir she had abortion,,2023-10-18 02:02:36
6,Why Egypt is reluctant to open crossing with Gaza,,2023-10-18 02:02:36
7,'Grab the children and leave': BBC reporter flees Israel bomb warning,,2023-10-18 02:02:36
8,Sweden investigating damage to Baltic undersea cable,,2023-10-18 02:02:36
9,Ex-wife of IS 'Beatle' speaks out for first time,,2023-10-18 02:02:36
10,Nigeria burns $1.4m-worth of pangolin scales,,2023-10-18 02:02:36
