order_var,value,url,scrape_date
1,Irish chef unseats Nigerian as world-record cook,,2023-11-08 02:28:02
2,First images revealed from 'dark Universe' mission,,2023-11-08 02:28:02
3,Ohio weighs abortion rights in closely watched vote,,2023-11-08 02:28:02
4,Poet Rupi Kaur rejects White House invite over Gaza,,2023-11-08 02:28:02
5,"Gaza journalist killed alongside 42 relatives, news agency says",,2023-11-08 02:28:02
6,Birthday gift grenade kills Ukraine army chief aide,,2023-11-08 02:28:02
7,Thieves put gun to South Africa minister's head,,2023-11-08 02:28:02
8,Tennis great Serena Williams named 'fashion icon',,2023-11-08 02:28:02
9,Israel-Hamas conflict exposes South Africa's divisions,,2023-11-08 02:28:02
10,Portuguese PM resigns over energy deal probe,,2023-11-08 02:28:02
