order,value,url,scrape_date
1,Ukraine uses US long-range missiles for the first time,,2023-10-17 23:26:24
2,Police shoot dead Brussels attacker who killed Swedes,,2023-10-17 23:26:24
3,Britney Spears says in memoir she had abortion,,2023-10-17 23:26:24
4,Exonerated man shot and killed in traffic stop,,2023-10-17 23:26:24
5,Sweden investigating damage to Baltic undersea cable,,2023-10-17 23:26:24
6,'Grab the children and leave': BBC reporter flees Israel bomb warning,,2023-10-17 23:26:24
7,Why Egypt is reluctant to open crossing with Gaza,,2023-10-17 23:26:24
8,Ex-wife of IS 'Beatle' speaks out for first time,,2023-10-17 23:26:24
9,Nigeria burns $1.4m-worth of pangolin scales,,2023-10-17 23:26:24
10,MI5 fears Israel-Gaza war could fuel radicalisation,,2023-10-17 23:26:24
