order_var,value,url,scrape_date
1,Offshore ‘secrecy factory’ exploiting UK loophole,,2023-11-02 07:31:26
2,Relaxed Trump Jr cracks jokes in courtroom debut,,2023-11-02 07:31:26
3,Arrest made in suspected mushroom poisoning deaths,,2023-11-02 07:31:26
4,'I don’t want to die at 24' - trapped Gaza woman,,2023-11-02 07:31:26
5,"Children must be off limits, says father of abducted kids",,2023-11-02 07:31:26
6,Cornell student in court over antisemitic threats,,2023-11-02 07:31:26
7,Cough syrup maker boss jailed after child deaths,,2023-11-02 07:31:26
8,George Santos easily survives House expulsion vote,,2023-11-02 07:31:26
9,Germany asks forgiveness for Tanzania colonial crimes,,2023-11-02 07:31:26
10,BBC verifies attacks in Gaza 'safe' areas,,2023-11-02 07:31:26
