order,value,url,scrape_date
1,Father saves daughter he hadn’t seen for six years from massacre,,2023-10-13 12:09:13
2,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 12:09:13
3,Pro-Palestinian demo broken up after French ban,,2023-10-13 12:09:13
4,Microsoft cleared for biggest ever gaming deal,,2023-10-13 12:09:13
5,Three ways US Republican Speaker chaos ends,,2023-10-13 12:09:13
6,Seven dead after migrant vehicle crashes in Germany,,2023-10-13 12:09:13
7,Israel Gaza war: History of the conflict explained,,2023-10-13 12:09:13
8,Air Canada sued over $20m gold and cash heist,,2023-10-13 12:09:13
9,Pakistan reporter who left India sorry for old posts,,2023-10-13 12:09:13
10,Ex-tax worker admits leaking Trump income records,,2023-10-13 12:09:13
