order,value,url,scrape_date
1,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 21:04:04
2,11kg of suspected cocaine found in wheelchair,,2023-10-15 21:04:04
3,Medieval 'love motto' gold ring found,,2023-10-15 21:04:04
4,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 21:04:04
5,England stunned by Afghanistan in World Cup defeat,,2023-10-15 21:04:04
6,Ecuador chooses president during wave of violence,,2023-10-15 21:04:04
7,US actress Piper Laurie dies at 91,,2023-10-15 21:04:04
8,The volunteers giving dignity to Israel’s dead,,2023-10-15 21:04:04
9,Afghanistan hit by third earthquake in a week,,2023-10-15 21:04:04
10,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 21:04:04
