order_var,value,url,scrape_date
1,Video shows Chinese beer worker urinating into tank,,2023-10-23 12:47:36
2,Call for billionaires to face a minimum tax rate,,2023-10-23 12:47:36
3,Gangster-turned-actor Dave Courtney dies aged 64,,2023-10-23 12:47:36
4,Biggest cervical cancer advance in 20 years hailed,,2023-10-23 12:47:36
5,Iran says Tehran metro girl ‘brain dead’,,2023-10-23 12:47:36
6,Argentina minister defies polls in first-round vote,,2023-10-23 12:47:36
7,Iran warns Israel to stop or region will 'go out of control',,2023-10-23 12:47:36
8,The Maldives' new leader wants Indian troops to leave,,2023-10-23 12:47:36
9,Why the Philippines and China are on a collision course,,2023-10-23 12:47:36
10,No evidence of hate crime in synagogue head killing,,2023-10-23 12:47:36
