order_var,value,url,scrape_date
1,Off-duty pilot accused of trying to crash airline jet,,2023-10-23 19:20:33
2,Jay-Z answers $500k viral question about himself,,2023-10-23 19:20:33
3,Brussels gunman had escaped Tunisian prison,,2023-10-23 19:20:33
4,Video shows Chinese beer worker urinating into tank,,2023-10-23 19:20:33
5,Iceland's PM to strike over gender pay gap,,2023-10-23 19:20:33
6,China toddler mauling prompts crackdown on dogs,,2023-10-23 19:20:33
7,Who are the nine Republican US Speaker candidates?,,2023-10-23 19:20:33
8,"‘Hamas said they wouldn’t shoot, then murdered my daughter’",,2023-10-23 19:20:33
9,Biggest cervical cancer advance in 20 years hailed,,2023-10-23 19:20:33
10,"Bobi, the world's oldest dog ever, dies aged 31",,2023-10-23 19:20:33
