order_var,value,url,scrape_date
1,The Beatles announce release of their 'last song',,2023-10-26 18:52:17
2,How two 4-year-olds were killed and social media denied it,,2023-10-26 18:52:17
3,Why Macron is sending a humanitarian ship to Gaza,,2023-10-26 18:52:17
4,Russia likely targeted Ukraine nuclear plant - Zelensky,,2023-10-26 18:52:17
5,What does new analysis tell us about Gaza hospital blast?,,2023-10-26 18:52:17
6,Cats rescued from slaughter for meat in China,,2023-10-26 18:52:17
7,US will defend Philippines if China attacks: Biden,,2023-10-26 18:52:17
8,Man cleared of spying on Sweden and US for Russia,,2023-10-26 18:52:17
9,'Reconnaissance by fire' - What Israel's Gaza raid tells us,,2023-10-26 18:52:17
10,US economy grows at fastest pace in nearly two years,,2023-10-26 18:52:17
