order_var,value,url,scrape_date
1,A turning point in Myanmar as army suffers big losses,,2023-11-09 06:08:09
2,Four takeaways from the third Republican debate,,2023-11-09 06:08:09
3,Why lack of recall is a common strategy on the stand,,2023-11-09 06:08:09
4,Picasso masterpiece of 'golden muse' sells for £113m,,2023-11-09 06:08:09
5,Iran-backed Yemeni rebels shoot down US drone,,2023-11-09 06:08:09
6,US and Italy arrest 16 alleged Gambino mafia members,,2023-11-09 06:08:09
7,Ivanka Trump testifies she can't recall loan details,,2023-11-09 06:08:09
8,'There's disgusting behaviour at my McDonald's',,2023-11-09 06:08:09
9,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-09 06:08:09
10,Russia hits civilian ship in Black Sea - Ukraine,,2023-11-09 06:08:09
