order,value,url,scrape_date,order_var
1,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T17:50:09Z,NA
2,US actress Piper Laurie dies at 91,NA,2023-10-15T17:50:09Z,NA
3,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T17:50:09Z,NA
4,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T17:50:09Z,NA
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T17:50:09Z,NA
6,Madonna's Celebration tour is a family affair,NA,2023-10-15T17:50:09Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T17:50:09Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T17:50:09Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T17:50:09Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T17:50:09Z,NA
1,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T17:55:12Z,NA
2,US actress Piper Laurie dies at 91,NA,2023-10-15T17:55:12Z,NA
3,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T17:55:12Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T17:55:12Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T17:55:12Z,NA
6,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T17:55:12Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T17:55:12Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T17:55:12Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T17:55:12Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T17:55:12Z,NA
1,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:00:15Z,NA
2,US actress Piper Laurie dies at 91,NA,2023-10-15T18:00:15Z,NA
3,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:00:15Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:00:15Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:00:15Z,NA
6,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T18:00:15Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:00:15Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:00:15Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T18:00:15Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T18:00:15Z,NA
1,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:05:19Z,NA
2,US actress Piper Laurie dies at 91,NA,2023-10-15T18:05:19Z,NA
3,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:05:19Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:05:19Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:05:19Z,NA
6,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T18:05:19Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:05:19Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:05:19Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T18:05:19Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T18:05:19Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:10:22Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:10:22Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:10:22Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:10:22Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:10:22Z,NA
6,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:10:22Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:10:22Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:10:22Z,NA
9,Fury outpoints KSI in grudge match,NA,2023-10-15T18:10:22Z,NA
10,"Kenya, China and a railway to nowhere",NA,2023-10-15T18:10:22Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:15:24Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:15:24Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:15:24Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:15:24Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:15:24Z,NA
6,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:15:24Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:15:24Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:15:24Z,NA
9,Fury outpoints KSI in grudge match,NA,2023-10-15T18:15:24Z,NA
10,"Kenya, China and a railway to nowhere",NA,2023-10-15T18:15:24Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:20:28Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:20:28Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:20:28Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:20:28Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:20:28Z,NA
6,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:20:28Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:20:28Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:20:28Z,NA
9,Fury outpoints KSI in grudge match,NA,2023-10-15T18:20:28Z,NA
10,"Kenya, China and a railway to nowhere",NA,2023-10-15T18:20:28Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:25:32Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:25:32Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:25:32Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:25:32Z,NA
5,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:25:32Z,NA
6,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:25:32Z,NA
7,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:25:32Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:25:32Z,NA
9,"What is happening in Israel and Gaza, and why now?",NA,2023-10-15T18:25:32Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T18:25:32Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:30:35Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:30:35Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:30:35Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:30:35Z,NA
5,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:30:35Z,NA
6,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:30:35Z,NA
7,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:30:35Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:30:35Z,NA
9,"What is happening in Israel and Gaza, and why now?",NA,2023-10-15T18:30:35Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T18:30:35Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:35:39Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:35:39Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:35:39Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:35:39Z,NA
5,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:35:39Z,NA
6,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:35:39Z,NA
7,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:35:39Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:35:39Z,NA
9,"What is happening in Israel and Gaza, and why now?",NA,2023-10-15T18:35:39Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T18:35:39Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:40:42Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:40:42Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:40:42Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:40:42Z,NA
5,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:40:42Z,NA
6,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:40:42Z,NA
7,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:40:42Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:40:42Z,NA
9,"What is happening in Israel and Gaza, and why now?",NA,2023-10-15T18:40:42Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T18:40:42Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:41:54Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:41:54Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:41:54Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:41:54Z,NA
5,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:41:54Z,NA
6,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:41:54Z,NA
7,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:41:54Z,NA
8,Ecuador chooses president during wave of violence,NA,2023-10-15T18:41:54Z,NA
9,"What is happening in Israel and Gaza, and why now?",NA,2023-10-15T18:41:54Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T18:41:54Z,NA
1,Inside the exhausted Gazan city with a million mouths to feed,NA,2023-10-15T18:46:58Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T18:46:58Z,NA
3,US actress Piper Laurie dies at 91,NA,2023-10-15T18:46:58Z,NA
4,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T18:46:58Z,NA
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T18:46:58Z,NA
6,Afghanistan hit by third earthquake in a week,NA,2023-10-15T18:46:58Z,NA
7,Madonna's Celebration tour is a family affair,NA,2023-10-15T18:46:58Z,NA
8,"What is happening in Israel and Gaza, and why now?",NA,2023-10-15T18:46:58Z,NA
9,Ecuador chooses president during wave of violence,NA,2023-10-15T18:46:58Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T18:46:58Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:09:15Z,NA
2,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:09:15Z,NA
3,French MPs protected as antisemitism increases,NA,2023-10-12T16:09:15Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:09:15Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:09:15Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:09:15Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:09:15Z,NA
8,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:09:15Z,NA
9,Who are the hostages taken by Hamas from Israel?,NA,2023-10-12T16:09:15Z,NA
10,Taylor Swift joined by Beyoncé for Eras premiere,NA,2023-10-12T16:09:15Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:14:18Z,NA
2,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:14:18Z,NA
3,French MPs protected as antisemitism increases,NA,2023-10-12T16:14:18Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:14:18Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:14:18Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:14:18Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:14:18Z,NA
8,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:14:18Z,NA
9,Who are the hostages taken by Hamas from Israel?,NA,2023-10-12T16:14:18Z,NA
10,Taylor Swift joined by Beyoncé for Eras premiere,NA,2023-10-12T16:14:18Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:19:20Z,NA
2,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:19:20Z,NA
3,French MPs protected as antisemitism increases,NA,2023-10-12T16:19:20Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:19:20Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:19:20Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:19:20Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:19:20Z,NA
8,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:19:20Z,NA
9,Who are the hostages taken by Hamas from Israel?,NA,2023-10-12T16:19:20Z,NA
10,Taylor Swift joined by Beyoncé for Eras premiere,NA,2023-10-12T16:19:20Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:24:22Z,NA
2,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:24:22Z,NA
3,French MPs protected as antisemitism increases,NA,2023-10-12T16:24:22Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:24:22Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:24:22Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:24:22Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:24:22Z,NA
8,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:24:22Z,NA
9,Who are the hostages taken by Hamas from Israel?,NA,2023-10-12T16:24:22Z,NA
10,Taylor Swift joined by Beyoncé for Eras premiere,NA,2023-10-12T16:24:22Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:29:24Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T16:29:24Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:29:24Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:29:24Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:29:24Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:29:24Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:29:24Z,NA
8,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:29:24Z,NA
9,IOC suspends Russian Olympic Committee,NA,2023-10-12T16:29:24Z,NA
10,Who are the hostages taken by Hamas from Israel?,NA,2023-10-12T16:29:24Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:34:26Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T16:34:26Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:34:26Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:34:26Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:34:26Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:34:26Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:34:26Z,NA
8,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:34:26Z,NA
9,IOC suspends Russian Olympic Committee,NA,2023-10-12T16:34:26Z,NA
10,Who are the hostages taken by Hamas from Israel?,NA,2023-10-12T16:34:26Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:39:28Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T16:39:28Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:39:28Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:39:28Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:39:28Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:39:28Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:39:28Z,NA
8,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:39:28Z,NA
9,IOC suspends Russian Olympic Committee,NA,2023-10-12T16:39:28Z,NA
10,Who are the hostages taken by Hamas from Israel?,NA,2023-10-12T16:39:28Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:44:30Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T16:44:30Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:44:30Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:44:30Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:44:30Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:44:30Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:44:30Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T16:44:30Z,NA
9,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:44:30Z,NA
10,IOC suspends Russian Olympic Committee,NA,2023-10-12T16:44:30Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:49:32Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T16:49:32Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:49:32Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:49:32Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:49:32Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:49:32Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:49:32Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T16:49:32Z,NA
9,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:49:32Z,NA
10,IOC suspends Russian Olympic Committee,NA,2023-10-12T16:49:32Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:54:34Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T16:54:34Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:54:34Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:54:34Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:54:34Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:54:34Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:54:34Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T16:54:34Z,NA
9,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:54:34Z,NA
10,IOC suspends Russian Olympic Committee,NA,2023-10-12T16:54:34Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T16:59:36Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T16:59:36Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T16:59:36Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T16:59:36Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T16:59:36Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T16:59:36Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T16:59:36Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T16:59:36Z,NA
9,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T16:59:36Z,NA
10,Nervousness palpable at Israel's border with Lebanon,NA,2023-10-12T16:59:36Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T17:04:38Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T17:04:38Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T17:04:38Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T17:04:38Z,NA
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T17:04:38Z,NA
6,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T17:04:38Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T17:04:38Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T17:04:38Z,NA
9,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T17:04:38Z,NA
10,Nervousness palpable at Israel's border with Lebanon,NA,2023-10-12T17:04:38Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T17:09:40Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T17:09:40Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T17:09:40Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T17:09:40Z,NA
5,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T17:09:40Z,NA
6,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T17:09:40Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T17:09:40Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T17:09:40Z,NA
9,IOC suspends Russian Olympic Committee,NA,2023-10-12T17:09:40Z,NA
10,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T17:09:40Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T17:14:42Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T17:14:42Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T17:14:42Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T17:14:42Z,NA
5,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T17:14:42Z,NA
6,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T17:14:42Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T17:14:42Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T17:14:42Z,NA
9,IOC suspends Russian Olympic Committee,NA,2023-10-12T17:14:42Z,NA
10,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T17:14:42Z,NA
1,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T17:19:44Z,NA
2,French MPs protected as antisemitism increases,NA,2023-10-12T17:19:44Z,NA
3,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T17:19:44Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T17:19:44Z,NA
5,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T17:19:44Z,NA
6,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T17:19:44Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T17:19:44Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T17:19:44Z,NA
9,IOC suspends Russian Olympic Committee,NA,2023-10-12T17:19:44Z,NA
10,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T17:19:44Z,NA
1,French MPs protected as antisemitism increases,NA,2023-10-12T17:24:47Z,NA
2,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T17:24:47Z,NA
3,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T17:24:47Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T17:24:47Z,NA
5,IOC suspends Russian Olympic Committee,NA,2023-10-12T17:24:47Z,NA
6,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T17:24:47Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T17:24:47Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T17:24:47Z,NA
9,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T17:24:47Z,NA
10,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T17:24:47Z,NA
1,French MPs protected as antisemitism increases,NA,2023-10-12T17:29:49Z,NA
2,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T17:29:49Z,NA
3,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T17:29:49Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T17:29:49Z,NA
5,IOC suspends Russian Olympic Committee,NA,2023-10-12T17:29:49Z,NA
6,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T17:29:49Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T17:29:49Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T17:29:49Z,NA
9,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T17:29:49Z,NA
10,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T17:29:49Z,NA
1,French MPs protected as antisemitism increases,NA,2023-10-12T17:34:51Z,NA
2,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T17:34:51Z,NA
3,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T17:34:51Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T17:34:51Z,NA
5,IOC suspends Russian Olympic Committee,NA,2023-10-12T17:34:51Z,NA
6,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T17:34:51Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T17:34:51Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T17:34:51Z,NA
9,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T17:34:51Z,NA
10,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T17:34:51Z,NA
1,French MPs protected as antisemitism increases,NA,2023-10-12T17:39:53Z,NA
2,Bernie Ecclestone pleads guilty to fraud,NA,2023-10-12T17:39:53Z,NA
3,Egypt warned Israel days before Hamas struck - US,NA,2023-10-12T17:39:53Z,NA
4,US House in limbo as Scalise scrambles for votes,NA,2023-10-12T17:39:53Z,NA
5,IOC suspends Russian Olympic Committee,NA,2023-10-12T17:39:53Z,NA
6,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',NA,2023-10-12T17:39:53Z,NA
7,California player wins $1.76bn Powerball jackpot,NA,2023-10-12T17:39:53Z,NA
8,X claims it is erasing 'illegal' Hamas content,NA,2023-10-12T17:39:53Z,NA
9,Gaza hospitals risk turning into morgues - Red Cross,NA,2023-10-12T17:39:53Z,NA
10,Frank Gardner: Hostage crisis is toughest Israel has ever faced,NA,2023-10-12T17:39:53Z,NA
