order,value,url,scrape_date,order_var
5,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T10:34:38Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T10:34:38Z,NA
7,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:34:38Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T10:34:38Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T10:34:38Z,NA
10,"Kenya, China and a railway to nowhere",NA,2023-10-15T10:34:38Z,NA
1,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T10:39:41Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T10:39:41Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T10:39:41Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T10:39:41Z,NA
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T10:39:41Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:39:41Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T10:39:41Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T10:39:41Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T10:39:41Z,NA
10,Fury outpoints KSI in unlicensed grudge match,NA,2023-10-15T10:39:41Z,NA
1,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T10:44:45Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T10:44:45Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T10:44:45Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T10:44:45Z,NA
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T10:44:45Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:44:45Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T10:44:45Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T10:44:45Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T10:44:45Z,NA
10,Fury outpoints KSI in unlicensed grudge match,NA,2023-10-15T10:44:45Z,NA
1,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T10:49:49Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T10:49:49Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T10:49:49Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T10:49:49Z,NA
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T10:49:49Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:49:49Z,NA
